,State,Date,Text
168,Kentucky,26-May-23,"Posted by Half-Staff Alerts Staff on May 26, 2023May 27, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags at all state buildings to be lowered to half-staff from sunrise to sunset Saturday, May 27, in honor of a Fort Campbell soldier who died in a training exercise in M
                    …Continue Reading"
169,Wisconsin,26-May-23,"Posted by Half-Staff Alerts Staff on May 26, 2023May 27, 2023 - Half-Staff Alert - WisconsinGovernor Evers has ordered the lowering of all U.S. and Wisconsin State flags on Saturday, May 27, 2023, as a mark of respect for Navy Seaman Second Class David Joseph Riley. Flags will remain lowered
                    …Continue Reading"
170,Texas,23-May-23,"Posted by Half-Staff Alerts Staff on May 23, 2023May 24, 2023 - Half Staff Alert - TexasGovernor Greg Abbott today ordered Texas flags across the state be lowered to half-staff tomorrow and issued a statewide call for Texans to take part in a moment of silence at 11:30 AM CT in memory of
                    …Continue Reading"
171,Mississippi,19-May-23,"Posted by Half-Staff Alerts Staff on May 19, 2023May 20, 2023 - Half-Staff Alert - MississippiGovernor Reeves ordered U.S. & Mississippi flags in Hinds County to half-staff May 19, 2023 to honor Hinds County Judge Larita Cooper-Stokes.
                    …Continue Reading"
172,California,15-May-23,"Posted by Half-Staff Alerts Staff on May 15, 2023May 15, 2023 - Half Staff Alert - CaliforniaGovernor Gavin Newsom today issued the following statement regarding the death of Riverside County Sheriff’s Deputy Brett Harris:“Jennifer and I join Riverside County in mourning the tragic loss of De
                    …Continue Reading"
173,Illinois,12-May-23,"Posted by Half-Staff Alerts Staff on May 12, 2023May 11-17, 2023 - Half Staff Alert - IllinoisThe Department of Central Management Services has received notice from Governor JB Pritzker
that all person or entities covered by the Illinois Flag Display Act are to fly the flags
at half-staff in
                    …Continue Reading"
174,Wisconsin,12-May-23,"Posted by Half-Staff Alerts Staff on May 12, 2023May 14, 2023 - Half-Staff Alert - WisconsinGov. Tony Evers signed Executive Order #200 ordering the flags of the United
States and the state of Wisconsin to be flown at half-staff on Sun., May 14,
2023, in honor of Hmong-Lao Veterans Day.
                    …Continue Reading"
175,Wisconsin,9-May-23,"Posted by Half-Staff Alerts Staff on May 09, 2023May 12, 2023 - Half-Staff Alert - WisconsinGov. Tony Evers signed Executive Order #199
ordering the flags of the United States and the state of Wisconsin to be flown
at half-staff on Fri., May 12, 2023, in honor of St. Croix County Sheriff’s
                    …Continue Reading"
176,Texas,7-May-23,"Posted by Half-Staff Alerts Staff on May 07, 2023May 7-11, 2023  - Half-Staff Alert - Entire United StatesAs a mark of respect for the victims of the senseless acts of violence perpetrated on May 6, 2023, in Allen, Texas, by the authority vested in me as President of the United States by the Constitution
                    …Continue Reading"
177,Iowa,5-May-23,"Posted by Half-Staff Alerts Staff on May 05, 2023May 5, 2023 - Half-Staff Alert - IowaGov. Kim Reynolds ordered all flags in Iowa to be lowered
to half-staff from sunrise to sunset on Friday, May 5 for the Iowa Peace
Officer Memorial Ceremony.This year, two fallen officers will be ho
                    …Continue Reading"
178,Wisconsin,5-May-23,"Posted by Half-Staff Alerts Staff on May 05, 2023May 6, 2023 - Half-Staff Alert - WisconsinGov.
Tony Evers signed Executive Order #196 ordering the flags of the United States
and the state of Wisconsin to be flown at half-staff on Sat., May 6, 2023, in
honor of Army Air Forces First Lieu
                    …Continue Reading"
179,Maryland,4-May-23,"Posted by Half-Staff Alerts Staff on May 04, 2023May 5, 2023 - Half-Staff Alert - MarylandThis is to advise that Governor Wes Moore ordered the
Maryland Flag lowered to half-staff from sunrise until sunset, Friday, May 5, 2023, for Fallen
Heroes Day. This day honors Maryland police, fire
                    …Continue Reading"
180,Indiana,4-May-23,"Posted by Half-Staff Alerts Staff on May 04, 2023May 5, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in LaGrange County in honor and remembrance of former State Senator Robert L. Meeks, who passed away on Wednesday, April 26. Meeks
                    …Continue Reading"
181,Arizona,1-May-23,"Posted by Half-Staff Alerts Staff on May 01, 2023May 1, 2023 - Half-Staff Alert - ArizonaGovernor Katie Hobbs
ordered flags at all state buildings be lowered to half-staff from sunrise to
sunset Monday, May 1, in honor of Arizona Peace Officers Memorial Day.""Today,
we honor and mourn t
                    …Continue Reading"
182,Alaska,29-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 29, 2023April 28-29, 2023 - Half Staff Alert - AlaskaGovernor Dunleavy has
ordered that Alaska and the United States flags fly at half-staff immediately
Friday, April 28th, to sunset on Saturday, April 29th,
in honor of the service members who lost t
                    …Continue Reading"
183,Florida,28-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 28, 2023April 29, 2023 - Half Staff Alert - FloridaOn Wednesday, April 5, 2023, County Commissioner Nancy Detert passed away at the age of 78. Detert had a long career in public service, serving in several capacities over a span of 35 years. She serve
                    …Continue Reading"
184,Indiana,28-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 28, 2023April 28, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in Noble County in honor of Ligonier Mayor Patricia “Patty” Fisel."
185,Maryland,27-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 27, 2023April 29, 2023 - Half-Staff Alert - MarylandThis is to advise that Governor Wes Moore ordered the Maryland Flag lowered to half-staff from sunrise until sunset, Saturday, April 29, 2023. This is the day of interment for former Speaker of the Ho
                    …Continue Reading"
186,Ohio,26-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 26, 2023April 25, 2023 - Half-Staff Alert - OhioGovernor DeWine gave permission for U.S. & Ohio flags to fly half-staff in the City of Madeira April 25, 2023 to honor Madeira Elementary School Principal Chris Flanagan.
                    …Continue Reading"
187,Montana,25-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 25, 2023April 27, 2023 - Half Staff Alert - MontanaGovernor Greg Gianforte has ordered all flags in the State of Montana be flown at half-staff from sunrise to sunset on Thursday, April 27, 2023, the day of interment, to honor the memory of Montana’s
                    …Continue Reading"
188,Wisconsin,21-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 21, 2023April 23, 2023 - Half-Staff Alert - WisconsinIn accordance with Executive Order #187, the flags of the United States and the State of Wisconsin shall be flown at half-staff from sunrise to sunset on Sunday, April 23, 2023, in honor of former Gov
                    …Continue Reading"
189,Kentucky,20-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 20, 2023April 21, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags
at all state buildings to be lowered to half-staff from sunrise to sunset on
Friday, April 21, 2023, in honor of a Fort Campbell soldier who died in a
training e
                    …Continue Reading"
190,Minnesota,19-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 19, 2023April 22, 2023 - Half-Staff Alert - MinnesotaGovernor
Tim Walz has ordered all Minnesota flags to be flown at half-staff at all state
buildings in Minnesota from sunrise until sunset on Saturday, April 22, 2023,
in honor and remembrance of De
                    …Continue Reading"
191,Indiana,19-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 19, 2023April 20, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in LaPorte and Porter Counties in honor of Michael Keel of Valparaiso. Keel tragically lost his life from injuries sustained while
                    …Continue Reading"
192,Oklahoma,19-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 19, 2023April 19, 2023 - Half Staff Alert - OklahomaGovernor Stitt ordered U.S. & Oklahoma flags to half-staff on all state building April 19, 2023 to honor the anniversary of the Oklahoma City Bombing."
193,Virginia,18-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 18, 2023April 19, 2023 - Half Staff Alert - West VirginiaGov. Jim Justice has issued a proclamation, ordering all United States and West Virginia flags at the Capitol Complex and all state-owned facilities in Fayette County be displayed at half-staff, from
                    …Continue Reading"
194,Kentucky,17-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 17, 2023April 18, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags
at all state buildings to be lowered to half-staff from sunrise to sunset on
Tuesday, April 18, 2023, in honor of two Fort Campbell soldiers who died in a
traini
                    …Continue Reading"
195,Oregon,17-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 17, 2023April 16-17, 2023 - Half Staff Alert - OregonGovernor Tina Kotek today ordered all flags at Oregon public institutions to be flown at half-staff until sunset April 17 to honor Nyssa Police Department Reserve Officer Joseph Johnson.Today, Governo
                    …Continue Reading"
196,Kentucky,17-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 17, 2023April 17, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags at all state buildings to be lowered to half-staff from sunrise to sunset on Monday, April 17, 2023, in honor of two Fort Campbell soldiers who died in a training e
                    …Continue Reading"
197,Missouri,17-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 17, 2023April 17, 2023 - Half-Staff Alert - MissouriGovernor Mike Parson ordered that the flag of the United States
and the flag of Missouri be flown at half-staff at all government buildings
in the State of Missouri on Monday, April 17, from sunrise
                    …Continue Reading"
198,Virginia,15-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 15, 2023April 16, 2023 - Half-Staff-Alert - VirginiaIn accordance with the authority vested in me as Governor, I hereby order that the flags of the United States of America and the Commonwealth of Virginia be flown at half-staff on all state and local
                    …Continue Reading"
199,Maryland,14-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 14, 2023April 16, 2023 - Half-Staff Alert - MarylandThis is to advise that Governor Wes Moore ordered the Maryland Flag lowered to half-staff from sunrise to sunset, Sunday, April 16, 2023. This is in honor of former State Delegate Marilyn Rubin Goldwa
                    …Continue Reading"
200,Missouri,14-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 14, 2023April 15, 2023 - Half-Staff Alert - MissouriGovernor Mike Parson ordered that the flag of the United States
and the flag of Missouri be flown at half-staff at all government buildings
in the State of Missouri on Saturday, April 15, from sunri
                    …Continue Reading"
201,Wisconsin,11-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 11, 2023April 15, 2023 - Half-Staff Alert - WisconsinGov. Tony Evers signed Executive Orders #192 and #193 ordering the flags of the United States and the state of Wisconsin to be flown at half-staff on Sat., April 15, 2023, in honor of Chetek Police Of
                    …Continue Reading"
202,Massachusetts,11-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 11, 2023March 29, 2023 - April 11, 2023 - Half Staff Alert - MassachusettsPlease be advised that Massachusetts Governor Maura T. Healey has ordered that the United States of America Flag and the Commonwealth of Massachusetts flag be lowered to half-staff at all state buildi
                    …Continue Reading"
203,Kentucky,11-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 11, 2023April 10-14, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has directed that flags at all state office buildings be lowered to half-staff until sunset on Friday, April 14, 2023, in honor and remembrance of the victims of violence perpetrated
                    …Continue Reading"
204,Illinois,10-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 10, 2023April 9-13, 2023 - Half Staff Alert - IllinoisThe Department of
Central Management Services has received notice from Governor JB Pritzker
that all person or entities covered by the Illinois Flag Display Act are to fly the flags
at ha
                    …Continue Reading"
205,Michigan,10-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 10, 2023April 11, 2023 - Half Staff Alert - MichiganGovernor
Gretchen Whitmer has ordered U.S. and Michigan flags within the
State Capitol Complex and across all public buildings and grounds to be
lowered to half-staff on Tuesday, April 11 to honor
                    …Continue Reading"
206,Arkansas,7-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 07, 2023April 8, 2023 - Half Staff Alert - ArkansasGovernor Sarah Huckabee Sanders has ordered that the United States flag and
the state flag of Arkansas be flown at half-staff throughout the State from
sunrise to sunset on Saturday, April 8, 2023,
                    …Continue Reading"
207,Iowa,7-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 07, 2023April 7, 2023 - Half-Staff Alert - IowaGov. Kim
Reynolds ordered all flags in Iowa to be lowered to half-staff from sunrise to
sunset on Friday, April 7th in honor and
remembrance of Willard “Sandy” Boyd who served as the University of
                    …Continue Reading"
208,Alabama,6-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 06, 2023April 10-12, 2023 - Half Staff Alert - AlabamaGovernor Ivey ordered U.S. & Alabama flags to half-staff April 10-12, 2023 to honor Life Saver 4 crew members Marc Gann & Adam Russell.
                    …Continue Reading"
209,Virginia,6-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 06, 2023April 8, 2023 - Half Staff Alert - West VirginiaGov. Jim Justice has issued a proclamation, ordering all United States and West Virginia flags at the Capitol Complex and all state-owned facilities in Lewis, Upshur, and Webster counties be displayed
                    …Continue Reading"
210,Illinois,5-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 05, 2023April 5-10, 2023 - Half Staff Alert - IllinoisThe Department of
Central Management Services has received notice from Governor JB Pritzker
that all person or entities covered by the Illinois Flag Display Act are to fly the flags
at ha
                    …Continue Reading"
211,Tennessee,4-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 04, 2023March 27, 2023 - April 7, 2023 - Half Staff Alert - TennesseeBy
order of the Governor, flags over the State Capitol and all State Office
buildings shall be flown at half-staff effective immediately and until further notice, in memory of the victims of the tra
                    …Continue Reading"
212,Ohio,3-Apr-23,"Posted by Half-Staff Alerts Staff on Apr 03, 2023April 1-15, 2023 - Half-Staff Alert - OhioThe funeral for Springfield Township Police Officer Tim
Unwin took place on Thursday, April 6, 2023. William Dunson’s funeral service
will take place this Saturday, April 15, 2023.  Flags may be rai
                    …Continue Reading"
213,Kentucky,31-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 31, 2023April 1-3, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags
at all state buildings to be lowered to half-staff from sunrise on Saturday,
April 1, until sunset on Monday, April 3, in honor of the Fort Campbell
soldiers who
                    …Continue Reading"
214,Tennessee,30-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 30, 2023March 27-31, 2023 - Half-Staff Alert - Entire United StatesAs a mark of respect for the victims of the senseless acts of violence perpetrated on March 27, 2023, in Nashville, Tennessee, by the authority vested in me as President of the United States by the Co
                    …Continue Reading"
215,Alabama,30-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 30, 2023April 3, 2023 - Half Staff Alert - AlabamaGovernor Ivey ordered U.S. & Alabama flags to half-staff April 3, 2023 to honor Officer Garrett Crumby of the Huntsville Police Department.
                    …Continue Reading"
216,Mississippi,30-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 30, 2023March 29-31, 2023 - Half-Staff Alert - MississippiGovernor Reeves order U.S. & Mississippi flags to half-staff March 29-31, 2023 to honor 21 Mississippians who tragically lost their lives due to the devastating tornadoes.
                    …Continue Reading"
217,Massachusetts,27-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 27, 2023March 28, 2023 - Half Staff Alert - MassachusettsPlease
be advised that Massachusetts Governor Maura Healey has ordered that the United
States of America flag and the Commonwealth of
Massachusetts flag be lowered to half-staff from sunrise until
                    …Continue Reading"
218,Wisconsin,27-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 27, 2023March 28, 2023 - Half-Staff Alert - WisconsinGov. Tony Evers signed Executive Order #189
ordering the flags of the United States and the state of Wisconsin to be flown
at half-staff on Tues., March 28, 2023, in honor of Army Private First Clas
                    …Continue Reading"
219,Pennsylvania,27-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 27, 2023March 27-31, 2023 - Half-Staff Alert - PennsylvaniaToday, in accordance with the United States flag code, Governor Josh Shapiro ordered Commonwealth flags on all Commonwealth facilities, public buildings, and grounds across the Commonwealth of Pennsyl
                    …Continue Reading"
220,Iowa,24-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 24, 2023March 25, 2023 - Half-Staff Alert - IowaGov. Kim Reynolds has ordered all
flags in Iowa to fly at half-staff from sunrise tosunset on Saturday, March 25,
2023, to honor fallen U.S. Navy Seaman 1st Class Donald Stott who was killed at Pear
                    …Continue Reading"
221,Maryland,24-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 24, 2023March 24, 2023 - Half-Staff Alert - MarylandThis is to advise that Governor Wes Moore ordered
the Maryland Flag lowered to half-staff effective immediately
until sunset today, Friday, March 24, 2023. This is done in honor of
Maryland highway
                    …Continue Reading"
222,Alaska,23-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 23, 2023March 27, 2023 - Half Staff Alert - AlaskaGovernor Dunleavy has
ordered that Alaska flags fly at half-staff from sunrise to sunset on
Monday, March 27th, in remembrance of the Great Alaska Good Friday
Earthquake.
                    …Continue Reading"
223,Oklahoma,22-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 22, 2023March 24, 2023 - Half Staff Alert - OklahomaGovernor Stitt today issued Executive Order 2023-05, directing all American and Oklahoma flags on state property to be flown at half-staff on Friday to honor the life and legacy of Deputy Jeremy David
                    …Continue Reading"
224,Virginia,22-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 22, 2023March 23, 2023 - Half Staff Alert - West VirginiaIn commemoration of the distinguished life and service of West Virginia Delegate William P. ""Bill"" Stafford, Gov. Jim Justice has issued a proclamation, ordering that all United States and West Virgin
                    …Continue Reading"
225,Florida,21-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 21, 2023March 22, 2023 - Half Staff Alert - FloridaOn March 15, 2023, Second Judicial Circuit Judge Kevin J. Carroll passed away at the age of 67. Judge Carroll served his community as a judge for more than 12 years and as a lawyer for 40 years. He re
                    …Continue Reading"
226,Vermont,20-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 20, 2023March 19, 2023 - Half-Staff Alert - VermontGovernor Scott ordered U.S. & Vermont flags to half-staff March 19, 2023 to honor the three-year anniversary of Vermont's first confirmed Covid-19 fatality.
                    …Continue Reading"
227,Virginia,17-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 17, 2023March 18, 2023 - Half-Staff-Alert - VirginiaIn accordance with the authority vested in me as Governor, I
hereby order that the flags of the United States of America and the
Commonwealth of Virginia be flown at half-staff on all state and loca
                    …Continue Reading"
228,Missouri,17-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 17, 2023March 19, 2023 - Half-Staff Alert - MissouriActing Governor Mike Kehoe ordered that the flag of the United
States and the flag of Missouri be flown at half-staff at all government
buildings in Gasconade County on Sunday, March 19, from
sunri
                    …Continue Reading"
229,Maine,16-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 16, 2023March 17, 2023 - Half-Staff Alert - MaineGovernor Janet Mills has directed that the United States and State of Maine flags be flown at half-staff from sunrise to sunset on Friday, March 17, 2023 at the State Capitol and in the Town of Holden
                    …Continue Reading"
230,Maryland,15-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 15, 2023March 15, 2023 - Half-Staff Alert - MarylandThis is to advise that Governor Wes Moore ordered
the Maryland Flag lowered to half-staff effective
immediately until sunset today, Wednesday, March 15, 2023.  This
is in honor of former State Dele
                    …Continue Reading"
231,Delaware,15-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 15, 2023March 14-16, 2023 - Half-Staff Alert - DelawareIn recognition and memory of Representative Donna Stone’s service to the State of Delaware, Governor Carney has ordered the Delaware flag at state buildings and facilities be flown at half-staff until
                    …Continue Reading"
232,Massachusetts,14-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 14, 2023March 13-17, 2023 - Half Staff Alert - MassachusettsPlease be advised that Massachusetts Governor Maura T. Healey has ordered
that the United States of America Flag and the Commonwealth of Massachusetts
flag be lowered to half-staff at all state buil
                    …Continue Reading"
233,Virginia,13-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 13, 2023March 13, 2023 - Half-Staff-Alert - VirginiaIn accordance with the authority vested in me as Governor, I hereby order that the flags of the United States of America and the Commonwealth of Virginia be flown at half-staff on all state and local
                    …Continue Reading"
234,Indiana,10-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 10, 2023March 11, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in the State of Indiana in honor and remembrance of Master Trooper James R. Bailey who was killed in the line of duty.Flags should
                    …Continue Reading"
235,Idaho,10-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 10, 2023March 5-11, 2023 - Half-Staff Alert - IdahoGovernor Brad Little
ordered the immediate lowering of U.S. and State of Idaho flags to honor former
Governor Phil Batt, who passed away peacefully at his home today, on his 96th birthday.“Governor
                    …Continue Reading"
236,Indiana,10-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 10, 2023March 10, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in Johnson County in honor of Korean War veteran Sgt. Charles Garrigus, Jr. The war veteran’s remains were identified more than 70
                    …Continue Reading"
237,Nevada,9-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 09, 2023March 3-9, 2023 - Half-Staff Alert - NevadaGovernor Lombardo ordered U.S. and Nevada flags at the State Capitol and all state public buildings and grounds to half-staff March 3, 2023 through interment (March 9) of the last
                    …Continue Reading"
238,Indiana,8-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 08, 2023March 9, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in Vanderburgh County in honor and remembrance of Asson Hacker. The Vanderburgh County Sheriff’s deputy died in the line of duty d
                    …Continue Reading"
239,Illinois,6-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 06, 2023March 3-9, 2023 - Half Staff Alert - IllinoisThe Department of
Central Management Services has received notice from Governor JB Pritzker
that all person or entities covered by the Illinois Flag Display Act are to fly the flags
at ha
                    …Continue Reading"
240,Michigan,3-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 03, 2023March 4, 2023 - Half Staff Alert - MichiganGovernor Gretchen Whitmer has ordered U.S. and Michigan
flags within the State Capitol Complex and across all public buildings and
grounds remain lowered to half-staff on Saturday, March 4 to honor
                    …Continue Reading"
241,Michigan,3-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 03, 2023March 2-4, 2023 - Half Staff Alert - MichiganGovernor Gretchen Whitmer has ordered U.S. and Michigan
flags within the State Capitol Complex and across all public buildings and
grounds to be lowered to half-staff on Friday, March 3 to honor an
                    …Continue Reading"
242,Massachusetts,3-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 03, 2023February 27, 2023 - March 3, 2023 - Half Staff Alert - MassachusettsPlease be advised that Massachusetts Governor Maura T. Healey has ordered
that the United States of America flag and the Commonwealth of Massachusetts
flag at all state buildings should remain at ha
                    …Continue Reading"
243,Wisconsin,3-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 03, 2023February 23, 2023 - March 3, 2023 - Half-Staff Alert - WisconsinGov. Tony Evers today
announced the passing of former Gov. Tony Earl, the 41st governor of the state
of Wisconsin. After suffering a stroke this past weekend, Gov. Earl was
hospitalized, spending h
                    …Continue Reading"
244,Indiana,3-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 03, 2023March 4, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in Perry County in honor and remembrance of the former Mayor of Tell City, Bill Goffinet.Flags should be flown at half-staff in Pe
                    …Continue Reading"
245,Ohio,3-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 03, 2023February 25, 2023 - March 3, 2023 - Half-Staff Alert - OhioFollowing the unexpected death of State Representative Kris Jordan (R-Ostrander) Governor Mike DeWine has ordered that the flags of the United States and the State of Ohio be flown at half-staff at th
                    …Continue Reading"
246,Tennessee,1-Mar-23,"Posted by Half-Staff Alerts Staff on Mar 01, 2023February 28, 2023 - March 1, 2023 - Half Staff Alert - TennesseeBy order of the Governor and in accordance with Honoring
Hometown Heroes Act, flags over the State Capitol and all State office
buildings are to fly at half-staff effective immediately until sunset
                    …Continue Reading"
247,Michigan,27-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 27, 2023February 14-27, 2023 - Half Staff Alert - MichiganGovernor Gretchen Whitmer has
ordered U.S. and Michigan flags
within the State Capitol Complex and upon all public buildings and grounds
across the state of Michigan to be raised to full-staff on M
                    …Continue Reading"
248,Wisconsin,26-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 26, 2023February 26, 2023 - Half-Staff Alert - WisconsinGov. Tony Evers today ordered the flags of the
United States and the state of Wisconsin to be flown at half-staff on Sun.,
Feb. 26, 2023, in honor of Fire Chief Todd J. Yandre of the Lake Mills Fire
                    …Continue Reading"
249,Massachusetts,24-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 24, 2023February 24, 2023 - Half Staff Alert - MassachusettsGovernor Maura T. Healey today issued the following statement on the passing of former Massachusetts Congressman John W. Olver. She has also ordered flags to be lowered to half-staff at all state buil
                    …Continue Reading"
250,Pennsylvania,24-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 24, 2023February 19-24, 2023 - Half-Staff Alert - PennsylvaniaToday, in accordance with the United States flag code, Governor Josh Shapiro ordered United States and commonwealth flags on all commonwealth facilities, public buildings, and grounds across the Commo
                    …Continue Reading"
251,Wyoming,23-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 23, 2023February 23, 2023 - Half-Staff Alert - WyomingGovernor Mark Gordon has ordered both the U.S. and State of
Wyoming flag be flown at half-staff statewide on Thursday, February 23,
2023 in honor and memory of World War II veteran Herman Schmidt
f
                    …Continue Reading"
252,Missouri,21-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 21, 2023February 22, 2023 - Half-Staff Alert - MissouriGovernor Mike Parson today ordered the U.S. and Missouri flags to be flown at half-staff at all government buildings in Cass, Clay, Jackson, and Platte counties on Wednesday, February 22, to honor Kan
                    …Continue Reading"
253,Washington,21-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 21, 2023February 22, 2023 - Half Staff Alert - WashingtonI am deeply saddened by the death of Washington State Department of Corrections Correctional Officer Jay Miller, 52, and direct that Washington State and United States flags at all state agency facili
                    …Continue Reading"
254,Washington,20-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 20, 2023February 20, 2023  - Full-Staff Alert - Entire United StatesThere's always confusion on Washington's birthday, whether the flag should be flown at half-staff or full-staff. Fact is, the American flag should be proudly flown at full-staff on Washington's birthd
                    …Continue Reading"
255,Maryland,17-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 17, 2023February 20, 2023 - Half-Staff Alert - MarylandThis is to advise that Governor Wes Moore has
ordered the Maryland Flag lowered to half-staff at sunrise, Monday,
February 20, 2023 and returned to full-staff at sunset, Monday, February 20,
2023 f
                    …Continue Reading"
256,Indiana,17-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 17, 2023February 20, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in Tippecanoe County in honor and remembrance of the former Mayor of Lafayette, Dave Heath.Flags should be flown at half-staff in
                    …Continue Reading"
257,Kentucky,17-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 17, 2023February 17-20, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags
at all state buildings lowered to half-staff, effective immediately, until
sunset on Monday, Feb. 20, in honor of two Tennessee National Guard pilots
killed in a
                    …Continue Reading"
258,Tennessee,17-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 17, 2023February 17-20, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags
at all state buildings lowered to half-staff, effective immediately, until
sunset on Monday, Feb. 20, in honor of two Tennessee National Guard pilots
killed in a
                    …Continue Reading"
259,Florida,16-Feb-23,"Posted by Half-Staff Alerts Staff on Feb 16, 2023February 17, 2023 - Half Staff Alert - FloridaOn January 20, 2023, former Representative James Rollins Eddy passed away at the age of 91. From 1963 to 1968, Representative Eddy represented Broward County and District 82 in the Florida House. Duri
                    …Continue Reading"
